hiv_prep_longitudinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prep,prophylaxis,truvada,descovy,apretude,Dates,United States Avg,United States,NY,NY-New York City,DC,DC-Washington,WI,WI-Madison,United Kingdom,IL,IL-Chicago,MN,CA,NC,VA,Pakistan,Romania,The Netherlands,OH,CA-San Diego,Ukraine,GA,GA-Atlanta,India,MS,Singapore,CA-Los Angeles,ID,FL,OR,OR-Portland,PA,PA-Philadelphia,Jordan,MA,MA-Boston,HI,HI-Honolulu,Sweden,CO,Ghana,TN,TN-Nashville,WA,WA-Seattle,South Africa,MD,NV,NV-Las Vegas,Austria,Estonia,VA-Arlington,NJ,Australia,Mexico,Canada,LA,LA-New Orleans,IN,IN-Indianapolis,CA-Sacramento,ID-Boise,NY-Buffalo,CA-Oakland,CO-Denver,Kenya,MO,Switzerland,Germany,Indonesia,TX,TX-Dallas,NV-Reno,NM,NM-Albuquerque,AZ,AZ-Phoenix,TX-San Antonio,Philippines,Norway,RI,IA,Gibraltar,MD-Baltimore,MI,MI-Detroit,OH-Cleveland,NH,LA-Baton Rouge,AZ-Tucson,Italy,CT,SC,Egypt,Sri Lanka,PA-Pittsburgh,AR,AL,Rwanda,Peru,FL-Miami,Japan,Malaysia,FL-Orlando,Nigeria,NC-Charlotte,CA-San Jose,Spain,Bangladesh,MN-Minneapolis,TX-Houston,NC-Durham,TX-Austin,France,Thailand,WI-Milwaukee,Armenia,CA-Anaheim,New Zealand,Portugal,Cambodia,Venezuela,Ireland,VT,VA-Richmond,OH-Cincinnati,Malawi,AZ-Glendale,Lebanon,Panama,Madagascar,Uganda,Belgium,KY,AK,AK-Anchorage,KS,AZ-Mesa,China,South Korea,FL-Tampa,IN-Fort Wayne,Botswana,Jamaica,Ethiopia,WV,Netherlands,NE,NE-Omaha,UT,NC-Greensboro,Argentina,United Arab Emirates,Cameroon,Kuwait,CA-Santa Ana,MO-Kansas City,OH-Toledo,CA-Riverside,NJ-Newark,Slovenia,CA-Bakersfield,NC-Raleigh,Brazil,Poland,El Salvador,Kazakhstan,ND,KY-Louisville,NJ-Jersey City,CO-Colorado Springs,Zambia,Tajikistan,Israel,Chile,Puerto Rico,DE,TX-Plano,CA-San Francisco,Tunisia,Ecuador,Dominican Republic,Vietnam,Zimbabwe,AZ-Scottsdale,Denmark,OH-Columbus,Czech Republic,NE-Norfolk,Iran,Senegal,Namibia,Finland,Cyprus,TX-Lubbock,Barbados,Reunion,Mauritius,Bahrain,Turkey,Tanzania,Nepal,Saudi Arabia,Algeria,TX-Arlington,Trinidad and Tobago,KS-Wichita,Luxembourg,Seychelles,Russia,French Polynesia,CA-Irvine,AZ-Gilbert,Mali,MT,OK,OK-Oklahoma City,ME,ME-Portland,Ivory Coast,Maldives,Hong Kong,St. Lucia,Angola,Uzbekistan,Bolivia,WY,Greece,DE-Newark,WA-Spokane,Colombia,IN-Columbus,CA-Fresno,Albania,TN-Memphis,Morocco,NE-Lincoln,Saint Lucia,CA-Richmond,Taiwan,Honduras,Burkina Faso,Antarctica,Slovakia,Nicaragua,CA-Fremont,CA-Long Beach,Turks and Caicos Islands,The Bahamas,SD,VA-Virginia Beach,Palestinian Territory,Suriname,CA-Newark,AZ-Chandler,Belize,Hungary,GA-Columbus,CA-Glendale,NC-Jacksonville,NV-Henderson,Mozambique,British Virgin Islands,OK-Tulsa,TX-Fort Worth,Moldova,Afghanistan,Guyana,Guatemala,TX-Irving,Costa Rica,Antigua and Barbuda,Qatar,VA-Norfolk,Latvia,Myanmar,Lesotho,KS-Kansas City,Uruguay,Brunei,Swaziland,Georgia,TX-El Paso,Mongolia,Liberia,Anguilla,South Sudan,Guadeloupe,Haiti,Cayman Islands,Cuba,Malta,TX-Corpus Christi,Libya,Bosnia and Herzegovina,Serbia,NY-Long Beach,Croatia,The Gambia,Macedonia,Somalia,TX-Laredo,Sudan,CO-Aurora,Paraguay,Turkmenistan,Democratic Republic of Congo,Iceland,TN-Cleveland,Republic of Latvia,Iraq,Fiji,CA-Stockton,Syria,U.S. Virgin Islands,Papua New Guinea,Kosovo,MA-Lexington,CA-Chula Vista,Oman,Bulgaria,Montenegro,Republic of Lithuania,Kyrgyzstan,Eswatini,KY-Henderson,TX-Garland,South Georgia and the South Sandwich Islands,Cook Islands,IL-Aurora,NJ-Madison,Benin,CA-Lincoln,Sierra Leone,Dominica,MA-Arlington,Monaco,AL-Madison,Aruba,MS-Madison,CO-Louisville,FL-Jacksonville,Djibouti,Grenada,IN-Richmond,North Korea,Martinique
352,16,4,0,0,2017-02-25,3.529411765,180,14,13,19,19,,,40,1,1,2,54,5,3,,,,3,13,,12,10,,,,,,12,,,7,3,,1,1,,,,,,,,1,1,3,,1,1,,,,8,4,,26,1,1,,,,,,,,4,2,2,1,,5,,,3,3,,,,1,,2,,,,3,1,1,,,,,2,,,,3,,1,,,,,,5,2,1,,,,2,2,,2,,1,,,,,,,,1,1,,1,,,,,,,2,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,22,14,0,0,2017-03-04,7,357,45,42,44,44,2,,85,12,7,2,73,3,1,,,,13,8,,9,9,2,,,3,,21,,,15,12,1,3,1,6,6,1,4,,3,3,7,6,2,4,2,2,,1,,6,7,,12,9,7,3,1,,,,1,1,15,4,1,2,1,13,1,,,,1,,1,2,3,,,,2,1,,3,,,,,2,,,,2,,1,,,3,,,1,5,1,,2,,2,3,1,4,,,1,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,1,,1,1,,,,,,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,51,25,1,0,2017-03-11,4.039215686,206,22,16,22,22,,,14,1,1,1,59,,3,,,,7,5,,4,3,,,,,,18,,,5,2,3,1,1,6,6,,1,,,,1,1,6,,2,2,,,1,5,2,2,16,7,7,,,,,,,1,73,4,2,,,8,,,,,,,3,,1,,1,,,,,3,1,,,,4,,,,1,,,,,3,,,4,1,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,17,13,0,0,2017-03-18,3.980392157,203,16,11,32,32,,,29,1,1,,56,2,,,,,3,7,,8,8,,,,,,10,,,41,,,2,1,7,7,3,,,,,,,3,2,,,,,,1,3,,4,2,2,,,,,,,,3,,,,,3,1,,,,1,,1,,1,,,,2,3,,2,,,,,4,2,1,,5,,1,,,3,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,8,7,1,0,2017-03-25,2.823529412,144,17,15,10,10,,,47,3,3,,38,1,,,,,5,5,,5,5,,,,,,5,,,21,1,,2,2,8,8,,1,,,,1,1,3,,1,1,,,,1,3,1,4,3,1,,,,,,2,1,2,,1,,,8,,,,,,,2,,,,,,,4,,2,,2,,,,1,,,2,,,,,3,,,,,,,1,,,1,1,3,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,17,26,2,0,2017-04-01,2.098039216,107,13,11,9,9,1,,39,2,1,2,16,4,1,,,1,4,2,1,4,3,1,,,1,,7,,,10,2,,2,2,6,6,1,1,,1,1,2,2,26,,,,,,,6,3,,6,3,3,,,,,,,,3,1,5,,,1,,,,,,,,,,,,,,,,2,,,,,2,1,,,1,,,,,,,,,,,,1,,2,,1,,1,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,30,32,0,0,2017-04-08,4.156862745,212,35,29,14,14,1,,353,2,2,,41,4,1,3,,,7,5,,6,5,11,,2,,,8,2,,4,,,5,2,2,2,1,1,,,,4,4,18,2,3,2,,,,1,9,2,11,6,6,3,2,,,,,1,1,1,4,,,2,,,2,1,6,,,,1,,,,2,1,1,2,3,,3,3,1,,1,2,,,3,,,2,,,,11,1,,6,,,1,1,1,1,,,,,1,1,,,17,,,,,,,,,1,2,1,,,1,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
354,18,23,0,0,2017-04-15,3.039215686,155,16,14,40,40,,,41,4,4,,24,,,,,,7,2,,4,3,1,,,,,10,1,,6,3,,9,2,5,5,,,,,,1,1,15,2,,,,,,4,4,,8,4,4,3,3,,,,,,7,2,2,2,,4,,,,,3,2,,1,,,,,1,,,1,,,1,,1,1,,,3,,1,,,,,,1,,,,,,,3,,,,1,,,,,,,,17,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,32,16,2,0,2017-04-22,3.431372549,175,16,11,19,19,,,70,6,5,3,21,2,,,,,14,1,,7,7,1,,1,,,10,,,5,2,,2,,17,17,1,4,1,1,1,4,4,7,1,2,2,,,,5,2,,13,3,3,,,,,,2,3,2,,2,,,,,,,,1,1,,,,,,,1,,,2,,,,,5,,,,1,1,,,,2,,,,6,1,,,,1,,1,,1,,,,,,,,,20,,,1,,,,,,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,70,28,0,0,2017-04-29,2.921568627,149,17,7,6,6,1,1,28,,,,34,3,7,,,1,7,3,1,4,4,2,,,1,,5,1,,3,2,1,,,13,13,,1,,1,1,3,3,5,1,1,1,,,,4,4,,13,6,5,1,1,,,,,1,199,2,1,2,1,12,1,,,,,,1,2,,,,,1,,,1,,,,,1,1,,,1,,,,,2,,1,,,1,,,,,6,,2,1,,,,,2,1,,1,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,58,21,1,0,2017-05-06,2.960784314,151,19,12,18,18,2,,51,2,2,,32,4,3,3,,,7,1,,4,4,1,,,1,,9,,,5,3,,4,2,9,9,,1,1,,,1,1,7,1,1,1,,,,5,7,1,19,2,2,,,,,,,1,94,,6,4,,6,,,,,,,1,1,,,,,,,,2,2,,,,2,,,,,1,,,,1,,,1,2,1,,1,,,4,1,1,2,,,,,,1,,1,,,,,,,,,,4,,,,,1,,,1,,,,,,,2,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,38,24,1,0,2017-05-13,3.31372549,169,18,12,15,15,,,28,1,1,2,45,8,1,2,,,7,3,1,7,7,,,,1,,9,,,2,2,,6,6,10,10,2,,1,2,1,2,2,10,2,1,1,,,,6,2,,14,3,3,,,,,,2,,87,1,2,1,,7,,,1,,,,,,,,1,,,,,2,,,,,,,,,,2,,,,,,,,,1,1,,,1,7,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
502,32,16,0,0,2017-05-20,3.784313725,193,19,11,15,15,1,,36,9,6,,35,6,7,,,2,6,5,,7,6,,,1,1,,14,2,2,11,3,,1,1,14,14,,1,,,,6,5,8,1,1,1,,,1,7,16,,3,,,1,,,,,,1,49,,4,2,,7,,,,,,,,1,,,1,,1,1,1,2,,,,,,1,,,5,,,,,,,,,,,,1,,,4,3,2,2,,,,,,1,,,4,,,1,,,,,,,,,,,,,,,,,,,,,4,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
333,38,11,5,0,2017-05-27,2.37254902,121,10,6,4,4,1,,25,3,3,,33,2,2,,,1,6,1,,3,3,,1,,,,3,1,,11,,,1,1,9,9,,,,,,2,2,1,1,2,2,,,,4,2,1,8,,,,,,,,,,79,,5,1,,11,3,,,,1,1,,,,,,,1,4,,2,,,,1,1,,,,2,,,,,,,,,,,,,,,6,1,1,2,,1,,,,,,,2,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,42,87,1,0,2017-06-03,3.901960784,199,36,30,20,20,1,,22,4,3,,39,3,1,1,,1,10,8,,8,8,,,1,,,7,1,1,16,4,,5,3,3,3,,2,,,,5,4,4,2,,,,,,5,2,1,14,1,1,,,1,,,1,2,68,2,10,,,11,2,,1,,1,1,4,,1,,,,,,,4,,,,,,1,,,,,,,,1,,,,1,,1,1,,,4,,1,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,48,199,0,0,2017-06-10,5.333333333,272,44,30,18,18,1,,32,4,2,,34,8,5,1,,4,9,7,,14,10,4,2,,,1,8,2,2,17,9,,7,4,12,12,,3,3,4,1,10,9,20,4,1,,,,,10,1,,18,3,2,2,1,2,,,,1,71,5,5,,,8,,,,,,,,,,,2,,2,1,,1,2,,,1,1,,,,3,3,2,,,,,,,1,2,,1,,,4,4,,2,3,,,,,,,,15,,,2,,,,,,2,1,2,,,1,,1,,,,,,,,1,2,,1,,,,1,,,1,,,1,,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,33,26,0,0,2017-06-17,3.215686275,164,23,11,9,9,,,133,,,,23,2,1,,,2,14,5,1,11,11,,,2,,,13,2,1,17,3,,1,,5,4,3,3,,2,1,2,2,11,3,2,2,,,,4,5,,18,5,2,,,1,,1,,1,19,1,5,4,,3,,,,,1,,,1,1,,,,2,2,,2,2,,,,2,,,,,1,,,,2,,,1,1,,,,,,1,,2,1,,,,,,,,,12,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,18,17,0,0,2017-06-24,3.568627451,182,22,14,24,24,1,,69,5,4,,35,2,3,,,,3,4,,12,9,,,,1,,17,,,9,,,4,2,7,7,2,1,,,,1,1,4,1,1,1,,,,,8,1,20,1,1,1,,,,,2,,11,1,2,2,,8,1,,,,2,,1,2,,,1,,1,,,,2,,,,1,,,,1,,,,,3,,,3,1,,,,,,4,,,,,,,,1,,,,5,1,,1,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,27,20,0,0,2017-07-01,2.588235294,132,13,7,18,18,,,32,1,,,21,5,1,,,,4,3,,5,4,,,,1,,12,,,9,,,1,,14,14,,2,,,,1,1,8,1,,,,,,1,5,,4,5,4,,,,,,,1,7,,3,2,1,10,2,,2,2,1,1,,,,,,,1,,,2,,,,,1,,,,1,,1,,,2,,,,,,,,,,3,3,4,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,16,30,0,0,2017-07-08,3.862745098,197,29,17,16,16,1,,34,2,1,,36,2,3,,,,3,1,,7,7,,,1,,,12,2,2,19,2,,3,2,6,6,1,4,,1,1,7,5,11,1,2,2,,,,5,5,1,13,4,3,,,,,,1,,4,,12,,,5,2,,,,5,5,,6,,,,,1,,,2,1,,,,,,,,1,,3,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,64,19,0,0,2017-07-15,3.960784314,202,29,22,10,10,,,43,,,,35,9,1,,,1,5,2,,6,6,,,,,,6,1,1,21,1,,9,7,13,13,1,4,,2,1,3,2,10,1,2,2,,,,11,2,,18,2,2,1,,,,1,2,3,3,2,5,,,6,,,1,1,3,3,2,,,,,,1,1,,,,,,,3,,,,1,1,2,,,,,,1,,,,2,,,4,5,,3,,,,,,,,,4,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,1,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,63,107,0,0,2017-07-22,4.745098039,242,45,26,22,22,1,,46,2,2,2,49,6,1,2,1,2,4,3,,17,15,,,1,1,,7,,,6,,,4,4,14,14,1,1,,1,,1,1,17,6,2,2,,,,11,3,1,16,3,1,4,3,2,,,,1,9,,38,1,1,7,,,1,1,3,3,,4,1,1,3,,2,1,,,,,,1,3,,,,3,,,,,,,,,1,,,1,,2,6,3,,4,,,,,,,1,2,5,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,9,,,,,,,,,,,1,,,,,,1,2,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,72,59,0,0,2017-07-29,5.568627451,284,55,37,13,13,3,,256,4,3,1,43,9,4,6,,2,6,7,1,15,13,5,,1,,,21,,,2,2,1,5,5,19,19,,2,,1,,3,3,14,5,2,2,,,,6,3,3,17,3,3,,,1,,,1,2,10,1,4,3,,5,,,,,3,1,,3,3,,1,,3,1,,,2,,,,5,,,3,,1,3,,,5,1,,,6,,,1,,1,4,3,1,3,,,,,,1,1,1,22,,,,,,,1,,3,,1,1,1,2,,,,,,,,,,7,1,,,,,1,1,,,,,,1,,,,1,1,1,,,1,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
491,37,148,0,0,2017-08-05,6.274509804,320,49,33,32,32,3,,74,9,8,1,50,3,3,1,,1,7,7,,13,11,3,,,1,,27,,,18,3,2,5,2,12,12,,5,,2,1,6,5,,4,1,1,,,,8,5,,6,3,3,2,1,,,,1,5,,2,5,1,,16,1,,,,,,,8,,2,1,,2,,,3,,,,2,1,,1,7,3,,4,,,,,1,3,1,,1,,,,8,2,4,1,,1,,,,,,1,15,,,1,,,,,,,2,1,1,1,1,,1,,,,,,,1,2,1,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,33,23,0,0,2017-08-12,3.176470588,162,24,18,7,7,1,,23,2,2,,30,6,2,,1,,4,4,,8,8,,,1,1,,8,,,10,,,2,,13,13,,2,,,,5,1,9,3,1,1,,,,6,2,1,10,1,1,1,1,,,,,2,3,1,1,,,6,,,,,2,2,,2,,2,,,2,1,1,,,,,,,,,,2,,4,2,,1,,,2,1,,,,,,6,4,,1,,1,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
